,SØK PÅ ADRESSE: tast ctrl + F,,,28.09 DENNE LISTEN BLIR OPPDATERT! GJELDER LERKENDAL BYDEL! Her er et kart du kan se hvordan byen er inndelt :  https://kart.trondheim.kommune.no/map/helse_oms/#10/63.3610/10.5386/topo_graa-helsestasjonsone-bydel,
gatenr,Gatenavn,husnr,bokstav,Helsestasjonstilhørighet,"Alle husnummer tilknyttet
 samme helsestasjon?"
1184,Breidablikveien,21,,Sentrum,nei
1184,Breidablikveien,22,,Sentrum,nei
1184,Breidablikveien,23,,Sentrum,nei
1184,Breidablikveien,24,,Sentrum,nei
1184,Breidablikveien,25,,Sentrum,nei
1184,Breidablikveien,27,,Sentrum,nei
1184,Breidablikveien,28,,Sentrum,nei
1184,Breidablikveien,29,A,Sentrum,nei
1184,Breidablikveien,29,B,Sentrum,nei
1184,Breidablikveien,29,C,Sentrum,nei
1184,Breidablikveien,3,,Sentrum,nei
1184,Breidablikveien,30,,Sentrum,nei
1184,Breidablikveien,31,,Sentrum,nei
1184,Breidablikveien,32,,Sentrum,nei
1184,Breidablikveien,33,A,Sentrum,nei
1184,Breidablikveien,33,B,Sentrum,nei
1184,Breidablikveien,36,,Byåsen,nei
1184,Breidablikveien,38,,Byåsen,nei
1184,Breidablikveien,39,,Sentrum,nei
1184,Breidablikveien,4,A,Sentrum,nei
1184,Breidablikveien,4,B,Sentrum,nei
1184,Breidablikveien,40,,Byåsen,nei
1184,Breidablikveien,42,,Byåsen,nei
1184,Breidablikveien,44,,Byåsen,nei
1184,Breidablikveien,46,,Byåsen,nei
1184,Breidablikveien,48,,Byåsen,nei
1184,Breidablikveien,5,,Sentrum,nei
1184,Breidablikveien,50,,Byåsen,nei
1184,Breidablikveien,52,,Byåsen,nei
1184,Breidablikveien,54,,Byåsen,nei
1184,Breidablikveien,56,,Byåsen,nei
1184,Breidablikveien,58,,Byåsen,nei
1184,Breidablikveien,6,,Sentrum,nei
1184,Breidablikveien,60,,Byåsen,nei
1184,Breidablikveien,62,,Byåsen,nei
1184,Breidablikveien,64,,Byåsen,nei
1184,Breidablikveien,65,,Sentrum,nei
1184,Breidablikveien,66,,Byåsen,nei
1184,Breidablikveien,68,,Byåsen,nei
1184,Breidablikveien,69,A,Sentrum,nei
1184,Breidablikveien,69,B,Sentrum,nei
1184,Breidablikveien,7,,Sentrum,nei
1184,Breidablikveien,72,,Byåsen,nei
1184,Breidablikveien,74,,Byåsen,nei
1184,Breidablikveien,76,,Byåsen,nei
1184,Breidablikveien,78,,Byåsen,nei
1184,Breidablikveien,8,,Sentrum,nei
1184,Breidablikveien,80,A,Byåsen,nei
1184,Breidablikveien,80,B,Byåsen,nei
1184,Breidablikveien,82,A,Byåsen,nei
1184,Breidablikveien,82,B,Byåsen,nei
1184,Breidablikveien,82,C,Byåsen,nei
1184,Breidablikveien,84,,Byåsen,nei
1184,Breidablikveien,86,,Byåsen,nei
1184,Breidablikveien,88,,Byåsen,nei
1184,Breidablikveien,9,,Sentrum,nei
1184,Breidablikveien,90,,Byåsen,nei
